context,change,EEG
1,0.03390682,-5.961491e-06
1,0.08409405,1.2644e-05
1,0.09814776,3.476135e-05
2,-0.08774056,-7.840444e-05
2,0.08205668,6.284357e-05
2,0.08995323,0.000174102
3,-0.09316148,-1.471001e-05
3,0.01048564,0.0001955707
3,0.09164068,0.0002627427
1,0.01167973,0.0001342222
1,0.08540802,0.0001529532
1,0.1265252,0.0003341344
2,-0.1046887,9.89482e-05
2,0.02552682,0.0002400196
2,0.1091637,0.0003235391
3,-0.08419678,0.0003563432
3,0.01238331,0.0006941617
3,0.08643059,0.0006078032
1,0.01231178,-0.0001828228
1,0.08409405,0.0001062058
1,0.1068871,-8.373577e-05
2,-0.09745885,-1.622497e-05
2,0.03827873,9.888036e-05
2,0.1129106,4.513033e-05
3,-0.05066561,0.0001825029
3,0.007320315,0.0003752326
3,0.06598838,0.000180497
1,-0.004155751,3.79569e-05
1,0.08597851,0.0001204156
1,0.1433025,0.0001324867
2,-0.1194402,1.178135e-05
2,-0.00630138,0.0001185831
2,0.1172968,0.0003419237
3,-0.05830066,0.0004713259
3,0.01641916,0.0005686033
3,0.06966476,0.000518524
1,-0.006199538,-0.0001483436
1,0.08606116,-0.0001252426
1,0.1212047,-5.08779e-05
2,-0.1098472,-3.225733e-05
2,0.01186924,-2.532079e-05
2,0.1184373,0.0001761004
3,-0.07329415,0.0002401944
3,0.009881997,0.0003925477
3,0.07633343,0.0003329944
1,0.0117744,-0.0001613527
1,0.08737517,-2.713625e-05
1,0.1418255,-0.0001303155
2,-0.1070675,7.36976e-06
2,-0.01485928,1.354929e-05
2,0.1129068,0.0001430508
3,-0.0947665,0.0002338808
3,0.01263291,0.0005020854
3,0.09017548,0.0004957765
1,0.02650464,0.0002212531
1,0.08557958,0.0003358657
1,0.1438795,0.0004108275
2,-0.1065439,0.0004177671
2,0.02486588,0.0006107736
2,0.1067572,0.0005864773
3,-0.09202801,0.0006749284
3,0.02085135,0.001039041
3,0.09616152,0.0007660767
1,-0.01084645,-1.690396e-05
1,0.08769069,0.00015141
1,0.1551811,0.0002652184
2,-0.1198859,0.0002411164
2,0.004245772,0.0002024777
2,0.1188422,0.0004203483
3,-0.05655047,0.0004174577
3,0.01383038,0.0007890532
3,0.0691172,0.0007070205
1,-0.004080371,5.398359e-05
1,0.08609629,-5.546226e-05
1,0.1299425,0.0002469466
2,-0.1016857,0.0001952533
2,0.03547525,0.000262798
2,0.1188067,0.0005246576
3,-0.05682697,0.0006930924
3,0.01377956,0.0009945888
3,0.06801695,0.000689741
1,-0.005043519,8.432148e-06
1,0.08695105,-5.657685e-05
1,0.1817568,0.0001784565
2,-0.1180283,-9.932418e-05
2,-0.0087932,0.0001256259
2,0.1231975,0.0002171944
3,-0.09379381,0.000264429
3,-0.0003384284,0.0007904535
3,0.08623093,0.0005544877
1,0.007837982,-9.308656e-05
1,0.08628517,-7.217273e-05
1,0.1588128,0.0001470607
2,-0.119936,-1.463323e-05
2,0.0005063159,8.65804e-05
2,0.1167578,0.0002263216
3,-0.08409223,0.0001304308
3,0.01444822,0.0005434627
3,0.07856077,0.000394612
1,0.003632929,-1.45167e-05
1,0.08583793,-1.123442e-05
1,0.1469717,9.310705e-05
2,-0.1126439,0.0001219683
2,0.01663865,0.0001571858
2,0.1106238,0.0003387629
3,-0.07422534,0.0005507197
3,0.01724791,0.0006320673
3,0.07775408,0.0006828133
1,0.08182228,-3.135695e-05
1,0.09278564,-3.621608e-05
1,0.1411489,-3.781196e-05
2,-0.09164316,-8.294639e-05
2,-0.006829672,-6.076274e-05
2,0.09215015,7.976259e-05
3,-0.1059396,3.414703e-05
3,0.002406933,0.0002020715
3,0.1002487,0.0003099451
1,-0.001100099,-0.0002224456
1,0.08517859,-0.0002652364
1,0.1213311,-0.000272623
2,-0.1070594,-0.0002728913
2,0.05069836,5.063615e-05
2,0.1112787,0.0001335018
3,-0.07776473,-3.591926e-05
3,0.01047335,0.0003122568
3,0.08855907,0.0003073139
1,-0.01845755,-7.675602e-06
1,0.08590858,7.499584e-05
1,0.1103581,1.94181e-05
2,-0.09907373,0.0001091078
2,0.03697649,0.0002652754
2,0.1193848,0.0003707719
3,-0.06006875,0.0004217286
3,0.005939302,0.0004764335
3,0.07110357,0.0005523001
1,-0.01391817,-0.0004023472
1,0.08797515,-0.0002066917
1,0.1300897,5.104103e-05
2,-0.1009878,-0.0004170322
2,0.03510624,-1.146041e-05
2,0.1092658,0.000120374
3,-0.05495191,0.0003193973
3,0.003758844,0.0003956003
3,0.05366615,0.0004953258
1,0.01051176,-0.0001277323
1,0.08409405,-8.271365e-06
1,0.1139283,7.722396e-05
2,-0.09952147,2.316512e-06
2,0.03594554,0.0001508811
2,0.104673,0.0003571509
3,-0.07658804,0.0002231368
3,0.01607429,0.0004177651
3,0.08406739,0.0003877889
1,-0.006419322,-0.000122336
1,0.08582012,-5.243695e-05
1,0.1252069,-3.903055e-06
2,-0.1136227,-0.0001516941
2,0.02031237,5.546159e-05
2,0.1238622,9.849734e-05
3,-0.06718647,0.0001717376
3,0.01170135,0.0002819443
3,0.08005884,0.0002332438
1,-0.009040434,-0.0001144561
1,0.08550103,-0.000120126
1,0.1322991,-0.0001301751
2,-0.1072465,0.0001878117
2,0.02994999,0.0003132677
2,0.1165148,0.00011443
3,-0.05426023,0.0002747607
3,0.006128523,0.0003981384
3,0.05322868,0.0003153151
1,-0.003526664,-0.0002182451
1,0.08741032,2.658484e-05
1,0.1567007,2.365327e-05
2,-0.1151995,6.629249e-05
2,0.02018819,0.0002133054
2,0.1145577,0.0002589321
3,-0.06891631,0.0002395054
3,0.004937452,0.0004550756
3,0.06939779,0.0003847842
1,0.01022135,-5.743116e-05
1,0.08609629,-4.963834e-05
1,0.1529767,0.0002813767
2,-0.1155997,5.726759e-05
2,-0.004932455,0.0002860982
2,0.1197337,0.0006018417
3,-0.08769624,0.0008050042
3,0.01923467,0.001154994
3,0.07618521,0.0009509827
1,0.03974594,1.540788e-05
1,0.0854032,-4.217551e-05
1,0.1146328,1.635485e-05
2,-0.1009784,-9.391575e-05
2,0.03168296,6.446727e-05
2,0.1030853,0.0001622711
3,-0.09521909,9.948809e-05
3,0.01640715,0.0002487664
3,0.09826101,0.0002299672
